SAMPLE_ID	BODY_SITE	ANALYTE_TYPE	IS_TUMOR	CELL_TYPE
ADRC-111-01	blood	DNA/RNA	N	monocytes
ADRC-11955-01	blood	RNA	N	monocytes
ADRC-18133-01	blood	DNA/RNA	N	monocytes
ADRC-25455-01	blood	DNA/RNA	N	monocytes
ADRC-27009-02	blood	DNA/RNA	N	monocytes
ADRC-2716-01	blood	DNA/RNA	N	monocytes
ADRC-39563-01	blood	DNA/RNA	N	monocytes
ADRC-42391-01	blood	DNA/RNA	N	monocytes
ADRC-42704-01	blood	RNA	N	monocytes
ADRC-42817-01	blood	DNA/RNA	N	monocytes
ADRC-44638-01	blood	DNA/RNA	N	monocytes
ADRC-4606-01	blood	RNA	N	monocytes
ADRC-49645-01	blood	DNA/RNA	N	monocytes
ADRC-50000-01	blood	RNA	N	monocytes
ADRC-50636-01	blood	RNA	N	monocytes
ADRC-50869-01	blood	DNA/RNA	N	monocytes
ADRC-51339-01	blood	DNA/RNA	N	monocytes
ADRC-52464-01	blood	DNA/RNA	N	monocytes
ADRC-53061-01A	blood	DNA/RNA	N	monocytes
ADRC-54642-01	blood	RNA	N	monocytes
ADRC-5856-01A	blood	DNA/RNA	N	monocytes
ADRC-62579-01	blood	DNA/RNA	N	monocytes
ADRC-65226-01	blood	DNA/RNA	N	monocytes
ADRC-65541-01	blood	DNA/RNA	N	monocytes
ADRC-67571-01	blood	RNA	N	monocytes
ADRC-68234-01	blood	DNA/RNA	N	monocytes
ADRC-71374-01	blood	DNA/RNA	N	monocytes
ADRC-7395-01	blood	RNA	N	monocytes
ADRC-74850-01	blood	DNA/RNA	N	monocytes
ADRC-76711-01	blood	DNA/RNA	N	monocytes
ADRC-78477-01	blood	DNA/RNA	N	monocytes
ADRC-81911-01	blood	RNA	N	monocytes
ADRC-82219-01	blood	DNA/RNA	N	monocytes
ADRC-854-01	blood	RNA	N	monocytes
ADRC-86834-01	blood	DNA/RNA	N	monocytes
ADRC-86855-01	blood	DNA/RNA	N	monocytes
ADRC-87485-01	blood	DNA/RNA	N	monocytes
ADRC-8757-01	blood	DNA/RNA	N	monocytes
ADRC-88335-01	blood	DNA/RNA	N	monocytes
ADRC-9336-01	blood	RNA	N	monocytes
ADRC-96115-01	blood	RNA	N	monocytes
ADRC-96322-01	blood	RNA	N	monocytes
ADRC-96538-01	blood	DNA/RNA	N	monocytes
ADRC-97294-01	blood	DNA/RNA	N	monocytes
ADRC-9955-01	blood	DNA/RNA	N	monocytes
ADRC3928	blood	RNA	N	monocytes
ADRC5763-01-Resub	blood	DNA/RNA	N	monocytes
ADRC69459	blood	RNA	N	monocytes
ADRC88786-01-Resub	blood	DNA/RNA	N	monocytes
BIMD0002-01	blood	RNA	N	monocytes
BIMD0003-01	blood	RNA	N	monocytes
BIMD0004-01	blood	RNA	N	monocytes
BIMD0005	blood	RNA	N	monocytes
BIMD0006	blood	RNA	N	monocytes
BIMD0008-01	blood	RNA	N	monocytes
BIMD0009-01	blood	RNA	N	monocytes
BIMD0014-01	blood	DNA/RNA	N	monocytes
BIMD0015-01	blood	DNA/RNA	N	monocytes
BIMD0016	blood	RNA	N	monocytes
BIMD0017-01	blood	DNA/RNA	N	monocytes
BIMD0018-01	blood	RNA	N	monocytes
BIMD0020	blood	RNA	N	monocytes
BIMD0021	blood	RNA	N	monocytes
BIMD0022-01	blood	RNA	N	monocytes
BIMD0023-01	blood	DNA/RNA	N	monocytes
BIMD0024-01	blood	DNA/RNA	N	monocytes
BIMD0025	blood	DNA/RNA	N	monocytes
BIMD0026	blood	DNA/RNA	N	monocytes
BIMD0027	blood	DNA/RNA	N	monocytes
BIMD0028	blood	DNA/RNA	N	monocytes
BIMD0031	blood	DNA/RNA	N	monocytes
BIMD0032	blood	DNA/RNA	N	monocytes
BIMD0033	blood	DNA/RNA	N	monocytes
BIMD0034	blood	DNA/RNA	N	monocytes
BIMD0035	blood	DNA/RNA	N	monocytes
BIMD0036	blood	RNA	N	monocytes
BIMD0037-A	blood	RNA	N	monocytes
BIMD0038	blood	RNA	N	monocytes
BIMD0039	blood	RNA	N	monocytes
BIMD0041	blood	DNA/RNA	N	monocytes
BIMD0042	blood	DNA/RNA	N	monocytes
BIMD0044	blood	DNA/RNA	N	monocytes
BIMD0045	blood	DNA/RNA	N	monocytes
BIMD0046	blood	DNA/RNA	N	monocytes
BIMD0047	blood	DNA/RNA	N	monocytes
BIMD0048	blood	DNA/RNA	N	monocytes
BIMD0049	blood	DNA/RNA	N	monocytes
BIMD0051	blood	DNA/RNA	N	monocytes
BIMD0053	blood	DNA/RNA	N	monocytes
BIMD0054	blood	DNA/RNA	N	monocytes
BIMD0055	blood	DNA/RNA	N	monocytes
BIMD0056	blood	DNA/RNA	N	monocytes
BIMD0057	blood	RNA	N	monocytes
BIMD0058	blood	DNA/RNA	N	monocytes
BIMD0060-02	blood	DNA/RNA	N	monocytes
BIMD0064	blood	DNA/RNA	N	monocytes
BIMD0066-01	blood	DNA/RNA	N	monocytes
BIMD0067-01	blood	DNA/RNA	N	monocytes
BIMD0068-01	blood	DNA/RNA	N	monocytes
BIMD0071-01	blood	DNA/RNA	N	monocytes
BIMD0075-01	blood	DNA/RNA	N	monocytes
BIMD0076-01	blood	DNA/RNA	N	monocytes
BIMD0077-01	blood	DNA/RNA	N	monocytes
BIMD0079-01	blood	DNA/RNA	N	monocytes
BIMD0083-01	blood	DNA/RNA	N	monocytes
BIMD0085-01	blood	DNA/RNA	N	monocytes
BIMD0086-01	blood	DNA/RNA	N	monocytes
BIMD0088-01	blood	DNA/RNA	N	monocytes
BIMD0089-01	blood	DNA/RNA	N	monocytes
BIMD0090-01	blood	DNA/RNA	N	monocytes
BIMD0091-01	blood	DNA/RNA	N	monocytes
BIMD0092-01	blood	DNA/RNA	N	monocytes
BIMD0094-01	blood	RNA	N	monocytes
BIMD0095-01	blood	RNA	N	monocytes
BIMD0096-01	blood	RNA	N	monocytes
BIMD0097-01	blood	DNA/RNA	N	monocytes
BIMD0098-01	blood	DNA/RNA	N	monocytes
BIMD0099-01	blood	DNA/RNA	N	monocytes
BIMD0100-Resub	blood	DNA/RNA	N	monocytes
BIMD0102-01	blood	DNA/RNA	N	monocytes
BIMD0103-Resub	blood	DNA/RNA	N	monocytes
BIMD0104-Resub	blood	DNA/RNA	N	monocytes
BIMD0105-01	blood	DNA/RNA	N	monocytes
BIMD0106-Resub	blood	DNA/RNA	N	monocytes
BIMD0107-01	blood	DNA/RNA	N	monocytes
BIMD0109	blood	DNA/RNA	N	monocytes
BIMD0110-Resub	blood	DNA/RNA	N	monocytes
BIMD0111-Resub	blood	DNA/RNA	N	monocytes
BIMD0114-Resub	blood	DNA/RNA	N	monocytes
BIMD0116-01	blood	DNA/RNA	N	monocytes
CCH0001-01	blood	RNA	N	monocytes
CCH0003-01	blood	DNA/RNA	N	monocytes
CCH0009-01	blood	DNA/RNA	N	monocytes
CCH0010-01	blood	DNA/RNA	N	monocytes
MSMD0003-01	blood	DNA/RNA	N	monocytes
MSMD0013	blood	DNA/RNA	N	monocytes
MSMD00146	blood	DNA/RNA	N	monocytes
MSMD0015-c	blood	DNA/RNA	N	monocytes
MSMD0018	blood	DNA/RNA	N	monocytes
MSMD0026	blood	DNA/RNA	N	monocytes
MSMD0027	blood	DNA/RNA	N	monocytes
MSMD0028	blood	DNA/RNA	N	monocytes
MSMD0030	blood	DNA/RNA	N	monocytes
MSMD0032	blood	DNA/RNA	N	monocytes
MSMD0033	blood	DNA/RNA	N	monocytes
MSMD0035	blood	RNA	N	monocytes
MSMD0037-02	blood	DNA/RNA	N	monocytes
MSMD0038	blood	DNA/RNA	N	monocytes
MSMD0040	blood	RNA	N	monocytes
MSMD0042	blood	DNA/RNA	N	monocytes
MSMD0043	blood	DNA/RNA	N	monocytes
MSMD0045	blood	RNA	N	monocytes
MSMD0046	blood	RNA	N	monocytes
MSMD0047	blood	DNA/RNA	N	monocytes
MSMD0048	blood	DNA/RNA	N	monocytes
MSMD0049	blood	DNA/RNA	N	monocytes
MSMD0051	blood	RNA	N	monocytes
MSMD0052	blood	DNA/RNA	N	monocytes
MSMD0053	blood	DNA/RNA	N	monocytes
MSMD0059	blood	DNA/RNA	N	monocytes
MSMD0060	blood	RNA	N	monocytes
MSMD0067	blood	DNA/RNA	N	monocytes
MSMD0069	blood	DNA/RNA	N	monocytes
MSMD0070-02	blood	RNA	N	monocytes
MSMD0078	blood	DNA/RNA	N	monocytes
MSMD0079	blood	DNA/RNA	N	monocytes
MSMD0098-02	blood	DNA/RNA	N	monocytes
MSMD0128-02	blood	DNA/RNA	N	monocytes
MSMD0139-02	blood	DNA/RNA	N	monocytes
MSMD0170-01	blood	DNA/RNA	N	monocytes
MSMD0171-01	blood	DNA/RNA	N	monocytes
MSMD0172-01	blood	RNA	N	monocytes
MSMD0174-01	blood	DNA/RNA	N	monocytes
MSMD0175-01	blood	DNA/RNA	N	monocytes
MSMD0180-01	blood	RNA	N	monocytes
MSMD0181-01	blood	DNA/RNA	N	monocytes
MSMD0182-01	blood	DNA/RNA	N	monocytes
MSMD0183-01	blood	RNA	N	monocytes
MSMD0185-01	blood	DNA/RNA	N	monocytes
MSMD0186-01	blood	DNA/RNA	N	monocytes
MSMD0187-01	blood	RNA	N	monocytes
MSMD0192-01	blood	DNA/RNA	N	monocytes
MSMD0196-A	blood	RNA	N	monocytes
MSMD0199	blood	DNA/RNA	N	monocytes
MSMD0200	blood	DNA/RNA	N	monocytes
MSMD0202	blood	DNA/RNA	N	monocytes
NYUMD0003-01	blood	DNA/RNA	N	monocytes
